state,state_po,year,democrat,republican
Alabama,AL,1978,0.939947251312274,0.0
Alabama,AL,1980,0.47053919894012525,0.5015295849569349
Alabama,AL,1984,0.6275624729258463,0.3635469948965676
Alabama,AL,1986,0.5028150082061429,0.49718499179385706
Alabama,AL,1990,0.6056714992313236,0.39420193493841305
Alabama,AL,1992,0.6481801547598902,0.3308501272975835
Alabama,AL,1996,0.45461796873801597,0.5245029155131443
Alabama,AL,1998,0.3669136890610443,0.6324183067175402
Alabama,AL,2002,0.39827704333185765,0.5857705301388076
Alabama,AL,2004,0.3235435813614084,0.6754515607378963
Alabama,AL,2008,0.36520448832171387,0.6336223194839702
Alabama,AL,2010,0.3471015463490719,0.6517547302286976
Alabama,AL,2014,0.0,0.9725164712928895
Alabama,AL,2016,0.3586726158881388,0.639587936251224
Alaska,AK,1978,0.24094638303419394,0.755925078009793
Alaska,AK,1980,0.4593396358811447,0.5368584223217361
Alaska,AK,1984,0.28485065734021836,0.7116858330346157
Alaska,AK,1986,0.4409654813856118,0.5402293128909685
Alaska,AK,1990,0.32192548840000634,0.6622867280489795
Alaska,AK,1992,0.38406184035976204,0.5304779862669682
Alaska,AK,1996,0.10338657099984477,0.7670579002742373
Alaska,AK,1998,0.19721199060444441,0.7449133706330278
Alaska,AK,2002,0.10513269555822748,0.7817014306376009
Alaska,AK,2004,0.455456270372833,0.4857791544362097
Alaska,AK,2008,0.4776708012954681,0.46522914614302396
Alaska,AK,2010,0.23500702535782358,0.3555300720539485
Alaska,AK,2014,0.45832507082152973,0.479621104815864
Alaska,AK,2016,0.11623389341801497,0.44358000391727487
Arizona,AZ,1976,0.5401087411125052,0.4333940448725732
Arizona,AZ,1980,0.4838179077093423,0.49456898464720134
Arizona,AZ,1982,0.5691097342809976,0.4030322495976571
Arizona,AZ,1986,0.3951288704296222,0.6047482909791279
Arizona,AZ,1988,0.567093931590097,0.4105143752162873
Arizona,AZ,1992,0.31570542621075487,0.5581523402537244
Arizona,AZ,1994,0.3954300931138634,0.5370569942630422
Arizona,AZ,1998,0.2716169272066951,0.687447694615506
Arizona,AZ,2000,0.0,0.7932252790828845
Arizona,AZ,2004,0.20620469119024182,0.7673903501952666
Arizona,AZ,2006,0.43499399390351734,0.5334081748409399
Arizona,AZ,2010,0.34651246368125194,0.5886007712100318
Arizona,AZ,2012,0.46203612160351465,0.4923090706964628
Arizona,AZ,2016,0.4074891434487282,0.26864995475613757
Arizona,AZ,2018,0.49955794301742895,0.4761129854028926
Arkansas,AR,1978,0.7647977909184782,0.1630280505397012
Arkansas,AR,1980,0.5908727862593532,0.4087179715434489
Arkansas,AR,1984,0.5734774349396545,0.42652256506034547
Arkansas,AR,1986,0.6227607417536202,0.3771644904937116
Arkansas,AR,1990,0.9983324405995129,0.0
Arkansas,AR,1992,0.6017719411135556,0.39822805888644447
Arkansas,AR,1996,0.4729957940540049,0.5270042059459952
Arkansas,AR,1998,0.5506006440925131,0.42217025217206433
Arkansas,AR,2002,0.5389562018651421,0.4610437981348578
Arkansas,AR,2004,0.5589777832085276,0.4406950889450993
Arkansas,AR,2008,0.7953296947677004,0.0
Arkansas,AR,2010,0.369451136408802,0.5790293567465898
Arkansas,AR,2014,0.39430327844673485,0.564974837906561
Arkansas,AR,2016,0.36171019627601075,0.5977163433322318
California,CA,1976,0.46888717966703014,0.5018311816502748
California,CA,1980,0.5651238849727751,0.3714159710485761
California,CA,1982,0.4477599625902414,0.5153533748854967
California,CA,1986,0.4928959559432758,0.47872165863661936
