DATE,AKPCPI
1950-01-01,2899.0
1951-01-01,3401.0
1952-01-01,3255.0
1953-01-01,3169.0
1954-01-01,2927.0
1955-01-01,2886.0
1956-01-01,3022.0
1957-01-01,2897.0
1958-01-01,3001.0
1959-01-01,3126.0
1960-01-01,3521.0
1961-01-01,3347.0
1962-01-01,3378.0
1963-01-01,3518.0
1964-01-01,3835.0
1965-01-01,4016.0
1966-01-01,4276.0
1967-01-01,4545.0
1968-01-01,4790.0
1969-01-01,5322.0
1970-01-01,5911.0
1971-01-01,6269.0
1972-01-01,6636.0
1973-01-01,7525.0
1974-01-01,8827.0
1975-01-01,11205.0
1976-01-01,12447.0
1977-01-01,12789.0
1978-01-01,13018.0
1979-01-01,13745.0
1980-01-01,15507.0
1981-01-01,17091.0
1982-01-01,19424.0
1983-01-01,19478.0
1984-01-01,19701.0
1985-01-01,20593.0
1986-01-01,20331.0
1987-01-01,19688.0
1988-01-01,20420.0
1989-01-01,22133.0
1990-01-01,23213.0
1991-01-01,23510.0
1992-01-01,24240.0
1993-01-01,25036.0
1994-01-01,25713.0
1995-01-01,26399.0
1996-01-01,26953.0
1997-01-01,28185.0
1998-01-01,29220.0
1999-01-01,29892.0
2000-01-01,31974.0
2001-01-01,33517.0
2002-01-01,34634.0
2003-01-01,35841.0
2004-01-01,36916.0
2005-01-01,38919.0
2006-01-01,41058.0
2007-01-01,43861.0
2008-01-01,47749.0
2009-01-01,47069.0
2010-01-01,49437.0
2011-01-01,52384.0
2012-01-01,53624.0
2013-01-01,52722.0
2014-01-01,55835.0
2015-01-01,57586.0
2016-01-01,56020.0
2017-01-01,56800.0
2018-01-01,59605.0
2019-01-01,62102.0
